\\\\Hourly Zonal Demand Report,,,,,,,,,,,,,,\r
\\\\Created at 2018-05-22 08:00:00,,,,,,,,,,,,,,\r
\\\\For 2017,,,,,,,,,,,,,,\r
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff\r
2017-01-01,1,13522,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"2,268"\r
2017-01-01,2,13117,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"2,673"\r
2017-01-01,3,12816,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"2,974"\r
2017-01-01,4,12605,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"3,186"\r
2017-01-01,5,12563,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"3,227"\r
2017-01-01,6,12544,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"3,247"\r
2017-01-01,7,12758,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"3,033"\r
2017-01-01,8,13065,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"2,725"\r
2017-01-01,9,13367,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"2,423"\r
2017-01-01,10,13644,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"2,146"\r
2017-01-01,11,13728,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"2,063"\r
2017-01-01,12,13555,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"2,236"\r
2017-01-01,13,13567,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"2,223"\r
2017-01-01,14,13441,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"2,349"\r
2017-01-01,15,13442,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"2,348"\r
2017-01-01,16,13926,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"1,864"\r
2017-01-01,17,14942,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,848\r
2017-01-01,18,16279,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,-489\r
2017-01-01,19,16313,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,-522\r
2017-01-01,20,16018,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,-228\r
2017-01-01,21,15787,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,4\r
2017-01-01,22,15275,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,516\r
2017-01-01,23,14615,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"1,175"\r
2017-01-01,24,13847,495,1476,1051,1203,5665,1045,72,2986,465,1334,15790,"1,944"\r
2017-01-02,1,13274,485,1453,958,1212,5774,1021,71,3078,472,1398,15923,"2,649"\r
2017-01-02,2,13020,485,1452,955,1212,5777,1020,71,3081,472,1400,15927,"2,907"\r
2017-01-02,3,12780,485,1452,953,1213,5781,1019,71,3084,473,1402,15931,"3,151"\r
2017-01-02,4,12669,484,1451,950,1213,5784,1019,71,3087,473,1404,15935,"3,266"\r
2017-01-02,5,12746,484,1450,947,1213,5787,1018,71,3089,473,1406,15939,"3,192"\r
2017-01-02,6,13027,484,1450,944,1213,5791,1017,71,3092,473,1408,15943,"2,916"\r
2017-01-02,7,13583,484,1449,941,1214,5794,1016,71,3095,474,1410,15947,"2,364"\r
2017-01-02,8,14408,483,1448,938,1214,5797,1016,71,3098,474,1411,15951,"1,542"\r
2017-01-02,9,14614,483,1448,936,1214,5801,1015,71,3101,474,1413,15955,"1,341"\r
2017-01-02,10,14630,483,1447,933,1215,5804,1014,71,3103,474,1415,15959,"1,329"\r
2017-01-02,11,14535,482,1446,930,1215,5807,1014,71,3106,474,1417,15963,"1,427"\r
2017-01-02,12,14501,482,1446,927,1215,5811,1013,71,3109,475,1419,15967,"1,466"\r
2017-01-02,13,14509,482,1445,924,1215,5814,1012,71,3112,475,1421,15971,"1,462"\r
2017-01-02,14,14528,482,1444,922,1216,5817,1011,71,3115,475,1423,15975,"1,447"\r
2017-01-02,15,14879,481,1443,919,1216,5821,1011,70,3117,475,1425,15979,"1,100"\r
2017-01-02,16,15462,481,1443,916,1216,5824,1010,70,3120,476,1427,15983,521\r
2017-01-02,17,16443,481,1442,913,1217,5827,1009,70,3123,476,1429,15987,-456\r
2017-01-02,18,17711,481,1441,910,1217,5830,1008,70,3126,476,1431,15991,"-1,720"\r
2017-01-02,19,17411,480,1441,908,1217,5834,1008,70,3129,476,1433,15995,"-1,416"\r
2017-01-02,20,17173,480,1440,905,1217,5837,1007,70,3131,476,1435,15999,"-1,174"\r
2017-01-02,21,16782,480,1439,902,1218,5840,1006,70,3134,477,1437,16003,-779\r
2017-01-02,22,16310,479,1439,899,1218,5844,1006,70,3137,477,1439,16007,-303\r
2017-01-02,23,15439,479,1438,896,1218,5847,1005,70,3140,477,1441,16011,572\r
2017-01-02,24,14325,479,1437,894,1218,5850,1004,70,3143,477,1442,16015,"1,690"\r
2017-01-03,1,13642,479,1437,891,1219,5854,1003,70,3145,478,1444,16019,"2,377"\r
2017-01-03,2,13302,478,1436,888,1219,5857,1003,70,3148,478,1446,16023,"2,721"\r
2017-01-03,3,13050,478,1435,885,1219,5860,1002,70,3151,478,1448,16027,"2,978"\r
2017-01-03,4,12983,478,1435,882,1220,5864,1001,70,3154,478,1450,16031,"3,049"\r
2017-01-03,5,13044,477,1434,879,1220,5867,1001,70,3157,479,1452,16035,"2,991"\r
2017-01-03,6,13552,477,1433,877,1220,5870,1000,70,3159,479,1454,16039,"2,488"\r
2017-01-03,7,14737,477,1432,874,1220,5874,999,70,3162,479,1456,16043,"1,306"\r
2017-01-03,8,16068,477,1432,871,1221,5877,998,70,3165,479,1458,16047,-21\r
2017-01-03,9,16476,476,1431,868,1221,5880,998,70,3168,479,1460,16051,-425\r
2017-01-03,10,16923,476,1430,865,1221,5884,997,70,3171,480,1462,16055,-868\r
2017-01-03,11,17231,476,1430,863,1221,5887,996,70,3173,480,1464,16059,"-1,172"\r
2017-01-03,12,17510,475,1429,860,1222,5890,995,70,3176,480,1466,16064,"-1,446"\r
2017-01-03,13,17448,475,1428,857,1222,5894,995,70,3179,480,1468,16068,"-1,380"\r
2017-01-03,14,17494,475,1428,854,1222,5897,994,70,3182,481,1470,16072,"-1,422"\r
2017-01-03,15,17557,475,1427,851,1223,5900,993,70,3185,481,1471,16076,"-1,481"\r
2017-01-03,16,17629,474,1426,849,1223,5903,993,70,3187,481,1473,16080,"-1,550"\r
2017-01-03,17,18121,474,1426,846,1223,5907,992,70,3190,481,1475,16084,"-2,037"\r
2017-01-03,18,18981,474,1425,843,1223,5910,991,70,3193,481,1477,16088,"-2,893"\r
2017-01-03,19,18626,473,1424,840,1224,5913,990,70,3196,482,1479,16092,"-2,534"\r
2017-01-03,20,18359,473,1424,837,1224,5917,990,70,3199,482,1481,16096,"-2,263"\r
2017-01-03,21,17918,473,1423,835,1224,5920,989,70,3201,482,1483,16100,"-1,818"\r
2017-01-03,22,17254,473,1422,832,1224,5923,988,70,3204,482,1485,16104,"-1,150"\r
2017-01-03,23,16077,472,1405,814,1213,5829,966,67,3207,483,1469,15926,-151\r
