\\\\Hourly Zonal Demand Report,,,,,,,,,,,,,,
\\\\Created at 2020-01-31 08:01:30,,,,,,,,,,,,,,
\\\\For 2019,,,,,,,,,,,,,,
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff
2019-01-01,1,13198,616,1276,923,900,4617,908,67,2521,367,1190,13384,186
2019-01-01,2,12737,609,1301,899,865,4437,870,65,2425,353,1161,12986,249
2019-01-01,3,12531,602,1347,869,841,4315,830,63,2380,342,1140,12729,198
2019-01-01,4,12291,605,1371,851,806,4207,802,64,2293,347,1134,12482,191
2019-01-01,5,12305,607,1390,846,825,4154,792,63,2275,399,1161,12512,207
2019-01-01,6,12559,594,1370,857,850,4171,808,66,2309,452,1214,12691,132
2019-01-01,7,13009,600,1339,896,874,4272,844,70,2397,408,1268,12968,-41
2019-01-01,8,13234,604,1327,916,872,4381,877,72,2460,409,1322,13240,7
2019-01-01,9,13558,611,1362,941,899,4453,927,76,2507,428,1355,13559,2
2019-01-01,10,13973,588,1357,986,922,4625,982,80,2631,418,1387,13975,1
2019-01-01,11,14207,552,1351,1012,944,4758,970,82,2682,437,1449,14237,31
2019-01-01,12,14391,556,1331,1036,806,4897,929,85,2801,440,1501,14383,-8
2019-01-01,13,14442,548,1325,1031,679,5011,917,86,2835,441,1531,14405,-37
2019-01-01,14,14427,548,1314,1022,662,5035,935,86,2827,442,1531,14403,-24
2019-01-01,15,14557,548,1334,1029,738,5041,960,86,2880,457,1525,14596,39
2019-01-01,16,15000,587,1375,1063,897,5139,1067,81,2965,469,1552,15194,194
2019-01-01,17,16064,603,1455,1152,1104,5403,1186,81,3088,493,1579,16144,80
2019-01-01,18,17232,619,1488,1237,1184,5856,1307,91,3331,529,1647,17289,57
2019-01-01,19,17278,623,1471,1212,1156,5901,1296,93,3304,523,1635,17215,-63
2019-01-01,20,17055,620,1499,1192,1164,5829,1272,93,3272,508,1621,17069,14
2019-01-01,21,16834,645,1505,1164,1121,5738,1239,91,3219,497,1600,16821,-14
2019-01-01,22,16320,649,1448,1128,1077,5598,1195,87,3131,479,1571,16364,45
2019-01-01,23,15521,644,1428,1068,1028,5353,1122,88,2968,458,1512,15669,147
2019-01-01,24,14944,634,1418,1016,983,5070,1051,87,2851,426,1466,15002,59
2019-01-02,1,14631,615,1401,972,955,4833,999,84,2779,411,1434,14485,-147
2019-01-02,2,14240,608,1373,952,943,4674,973,85,2744,404,1415,14170,-69
2019-01-02,3,14021,608,1380,949,941,4580,965,83,2701,395,1415,14017,-3
2019-01-02,4,13924,603,1329,947,949,4561,969,79,2666,411,1419,13934,10
2019-01-02,5,14183,606,1358,967,971,4624,990,77,2735,381,1440,14149,-34
2019-01-02,6,14813,597,1361,1030,1014,4856,1044,83,2877,423,1477,14762,-51
2019-01-02,7,16096,609,1407,1128,1099,5299,1129,87,3116,467,1567,15907,-189
2019-01-02,8,17129,602,1449,1197,1171,5824,1231,89,3371,506,1674,17115,-14
2019-01-02,9,17438,620,1483,1215,1110,6067,1252,90,3480,532,1731,17582,144
2019-01-02,10,17409,622,1446,1214,913,6222,1179,90,3509,544,1751,17491,81
2019-01-02,11,17392,617,1429,1202,767,6367,1113,90,3540,557,1773,17456,64
2019-01-02,12,17407,603,1407,1204,737,6469,1142,87,3535,545,1788,17517,110
2019-01-02,13,17611,592,1403,1195,782,6511,1204,89,3578,549,1787,17690,79
2019-01-02,14,17850,585,1376,1186,887,6503,1215,88,3624,555,1787,17806,-44
2019-01-02,15,17997,580,1414,1213,996,6540,1222,88,3653,559,1784,18049,53
2019-01-02,16,18464,578,1450,1243,1094,6602,1269,90,3628,559,1791,18303,-161
2019-01-02,17,18802,576,1474,1317,1244,6702,1350,91,3739,578,1788,18860,58
2019-01-02,18,19666,583,1535,1390,1332,6933,1445,90,3880,594,1798,19580,-86
2019-01-02,19,19285,619,1508,1347,1328,6899,1422,88,3816,580,1747,19355,70
2019-01-02,20,19136,654,1502,1319,1307,6765,1413,87,3790,595,1711,19143,7
2019-01-02,21,18737,652,1487,1296,1240,6617,1382,87,3721,573,1658,18712,-25
2019-01-02,22,17961,641,1448,1238,1170,6383,1295,85,3605,561,1533,17960,0
2019-01-02,23,16811,625,1420,1149,1096,5985,1208,76,3416,495,1434,16903,93
2019-01-02,24,15879,608,1377,1079,1064,5653,1093,67,3250,455,1391,16037,158
2019-01-03,1,15236,590,1385,1023,1045,5274,1001,65,3030,414,1334,15161,-75
2019-01-03,2,14589,578,1352,988,1009,5055,951,62,2878,408,1322,14603,14
2019-01-03,3,14349,573,1342,970,996,4920,918,62,2825,390,1305,14300,-49
2019-01-03,4,14024,563,1295,965,978,4824,906,61,2778,405,1294,14071,47
2019-01-03,5,14074,561,1290,986,957,4815,909,63,2818,396,1322,14115,41
2019-01-03,6,14539,554,1289,1048,977,5014,944,64,2879,404,1373,14546,7
2019-01-03,7,15604,549,1353,1134,1050,5381,1018,67,3049,442,1485,15528,-76
2019-01-03,8,16668,547,1403,1187,1131,5904,1106,67,3241,494,1623,16701,33
2019-01-03,9,17220,571,1419,1209,1141,6122,1149,74,3346,522,1692,17245,25
2019-01-03,10,17670,572,1406,1226,1147,6297,1179,80,3421,535,1700,17563,-107
2019-01-03,11,17858,577,1384,1241,1142,6414,1194,79,3425,541,1697,17694,-164
2019-01-03,12,17719,571,1374,1261,1151,6488,1181,75,3438,539,1656,17736,18
