date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2021-02-15 13:00:00 EST",1613412000,100.21,102.4,N,1,11,,64,-10.5,-4.8,-9,,24100,,,5,,,-4.6,-5.2
"2021-02-15 12:00:00 EST",1613408400,100.38,102.57,NNW,34,17,,73,-10,-6,-12,,24100,2.3,,7,,,-5.8,-6.3
"2021-02-15 11:00:00 EST",1613404800,100.43,102.62,N,0,12,,78,-9.7,-6.5,-12,,24100,2.5,,8,,,-6.5,-6.6
"2021-02-15 10:00:00 EST",1613401200,100.41,102.61,N,1,12,,79,-9.9,-6.8,-12,,6400,2.5,,8,,,-6.8,-6.9
"2021-02-15 09:00:00 EST",1613397600,100.38,102.58,N,1,12,,82,-9.5,-6.9,-12,,24100,2.6,,8,,,-6.9,-7.2
"2021-02-15 08:00:00 EST",1613394000,100.42,102.62,N,36,14,,83,-9.6,-7.2,-13,,24100,2.6,,8,,,-7.2,-7.3
"2021-02-15 07:00:00 EST",1613390400,100.44,102.63,N,35,14,,79,-10.2,-7,-13,,16100,2.7,,8,,,-6.8,-7
"2021-02-15 06:00:00 EST",1613386800,100.43,102.62,N,35,9,,74,-10.7,-6.8,-11,,24100,2.9,,8,,,-6.7,-6.8
"2021-02-15 05:00:00 EST",1613383200,100.37,102.56,N,35,8,,76,-10.4,-6.8,-11,,24100,3.1,,8,,,-6.8,-7
"2021-02-15 04:00:00 EST",1613379600,100.38,102.57,N,35,6,,76,-10.7,-7.2,-10,,24100,3.2,,8,,,-7.2,-7.4
"2021-02-15 03:00:00 EST",1613376000,100.46,102.65,NW,30,10,,76,-10.7,-7.1,-12,,24100,3.3,,8,,,-7.1,-7.5
"2021-02-15 02:00:00 EST",1613372400,100.46,102.65,NW,32,6,,77,-11.1,-7.7,-11,,24100,3.2,,7,,,-7.5,-8.3
"2021-02-15 01:00:00 EST",1613368800,100.49,102.69,N,36,4,,77,-11.3,-7.9,-10,,24100,3.2,,6,,,-7.6,-8.7
"2021-02-15 00:00:00 EST",1613365200,100.47,102.67,NW,32,12,,77,-11,-7.7,-13,,24100,3.3,,6,,,-7.5,-7.8
"2021-02-14 23:00:00 EST",1613361600,100.52,102.72,NW,31,13,,73,-10.8,-6.7,-12,,24100,3.4,,7,,,-6.6,-7
"2021-02-14 22:00:00 EST",1613358000,100.56,102.77,NW,31,13,,74,-10.9,-7,-13,,24100,3.4,,7,,,-7,-7.6
"2021-02-14 21:00:00 EST",1613354400,100.58,102.8,W,27,10,,75,-11.9,-8.3,-13,,24100,3.3,,6,,,-7.8,-9.2
"2021-02-14 20:00:00 EST",1613350800,100.6,102.82,W,28,13,,71,-11.7,-7.3,-13,,24100,3.2,,3,,,-6.8,-7.3
"2021-02-14 19:00:00 EST",1613347200,100.64,102.86,SW,23,13,,66,-10.9,-5.5,-11,,24100,3,,4,,,-5.2,-5.6
"2021-02-14 18:00:00 EST",1613343600,100.56,102.77,S,18,9,,64,-10.9,-5.2,-9,,24100,2.8,,6,,,-4.9,-5.2
"2021-02-14 17:00:00 EST",1613340000,100.5,102.71,S,18,10,,62,-11,-4.8,-9,,24100,2.7,,7,,,-4.7,-4.8
"2021-02-14 16:00:00 EST",1613336400,100.45,102.65,N,36,1,,54,-12.2,-4.1,-5,,24100,2.6,,6,,,-4,-4.3
