timestamp,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,demand
2017-01-01 00,1483246800,98.67,100.79,W,26,35,45,69,-4.5,0.5,,,24100,,,7,,,0.9,0.3,5665
2017-01-01 01,1483250400,98.83,100.95,W,26,35,,70,-4.5,0.3,,,24100,,,7,,,0.6,0.2,5665
2017-01-01 02,1483254000,98.95,101.08,W,26,32,43,67,-5.4,0,-7,,24100,2.3,,7,,,0.3,-0.1,5665
2017-01-01 03,1483257600,99.14,101.27,W,26,28,,69,-5.1,-0.1,-6,,24100,2.3,,7,,,0,-0.2,5665
2017-01-01 04,1483261200,99.28,101.41,W,26,27,,69,-5.1,-0.1,-6,,24100,2.2,,7,,,-0.1,-0.3,5665
2017-01-01 05,1483264800,99.35,101.49,WSW,25,18,,69,-5.1,-0.1,-5,,24100,2.3,,7,,,-0.1,-0.2,5665
2017-01-01 06,1483268400,99.46,101.6,SW,23,16,,70,-5.2,-0.4,-5,,24100,2.3,,6,,,-0.1,-0.4,5665
2017-01-01 07,1483272000,99.59,101.74,SW,23,15,,70,-6.4,-1.6,-6,,24100,2.3,,5,,,-0.4,-1.7,5665
2017-01-01 08,1483275600,99.73,101.88,SW,23,19,,70,-6.7,-1.9,-7,,24100,2.4,,7,,,-1.6,-1.9,5665
2017-01-01 09,1483279200,99.85,102,WSW,23,23,,68,-7,-1.8,-8,,24100,2.4,,1,,,-1.8,-2.3,5665
2017-01-01 10,1483282800,99.97,102.12,WSW,24,24,,66,-6.7,-1.1,-7,,24100,2.4,,1,,,-1,-1.8,5665
2017-01-01 11,1483286400,100.06,102.21,WSW,25,19,,62,-6.3,0.1,,,24100,2.3,,2,,,0.1,-1,5665
2017-01-01 12,1483290000,99.99,102.14,WSW,24,21,,59,-6.3,0.8,,,24100,2.2,,1,,,0.9,0.1,5665
2017-01-01 13,1483293600,100,102.15,WSW,23,20,,55,-6.9,1.2,,,24100,2.2,,1,,,1.6,0.6,5665
2017-01-01 14,1483297200,99.98,102.13,WSW,25,17,,57,-6.4,1.2,,,24100,2.2,,0,,,1.8,1.1,5665
2017-01-01 15,1483300800,100.06,102.21,W,25,18,,54,-6.6,1.7,,,24100,2.3,,0,,,1.7,1.2,5665
2017-01-01 16,1483304400,100.17,102.33,WSW,24,17,,57,-6.4,1.2,,,24100,2.4,,0,,,1.8,1.2,5665
2017-01-01 17,1483308000,100.23,102.39,WSW,23,8,,55,-7.4,0.6,,,24100,2.6,,2,,,1.3,0.5,5665
2017-01-01 18,1483311600,100.36,102.52,SSW,20,15,,57,-6.9,0.7,,,24100,2.8,,1,,,0.9,0.2,5665
2017-01-01 19,1483315200,100.38,102.55,SSW,19,8,,60,-6.8,0.1,,,24100,2.9,,0,,,0.7,0.1,5665
2017-01-01 20,1483318800,100.44,102.61,WSW,24,8,,64,-6.2,-0.2,-3,,24100,3.1,,0,,,0.1,-0.3,5665
2017-01-01 21,1483322400,100.5,102.67,SW,23,6,,67,-6.4,-1,-3,,24100,3.2,,1,,,-0.2,-1,5665
2017-01-01 22,1483326000,100.52,102.69,SW,23,10,,74,-4.7,-0.6,-4,,24100,3.3,,3,,,-0.6,-1.2,5665
2017-01-01 23,1483329600,100.54,102.71,,36,2,,72,-5.1,-0.7,-1,,24100,3.4,,3,,,-0.7,-1.5,5665
2017-01-02 00,1483333200,100.51,102.68,SE,12,5,,72,-5.6,-1.2,-3,,24100,3.5,,3,,,-0.6,-1.7,5774
2017-01-02 01,1483336800,100.55,102.72,NNE,2,8,,80,-5.4,-2.4,-6,,24100,3.7,,3,,,-1.2,-2.5,5777
2017-01-02 02,1483340400,100.55,102.72,NE,3,10,,81,-5.1,-2.3,-6,,24100,3.9,,3,,,-1.7,-2.8,5781
2017-01-02 03,1483344000,100.62,102.79,N,0,7,,78,-5.2,-1.9,-5,,24100,4.1,,6,,,-1.4,-2.2,5784
2017-01-02 04,1483347600,100.57,102.74,NE,4,10,,80,-5.1,-2.1,-6,,24100,4.1,,6,,,-1.8,-2.7,5787
2017-01-02 05,1483351200,100.61,102.78,NW,30,7,,83,-5.5,-3,-6,,24100,3.9,,6,,,-1,-3.1,5791
2017-01-02 06,1483354800,100.58,102.75,NNE,2,9,,85,-4.9,-2.7,-6,,24100,3.7,,7,,,-2.6,-3.4,5794
