timestamp,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr,demand,Ontario_demand
2017-01-01 00,1483246800,98.67,100.79,W,26.0,35.0,45.0,69.0,-4.5,0.5,,,24100.0,,,7.0,,,0.9,0.3,5665,13522
2017-01-01 01,1483250400,98.83,100.95,W,26.0,35.0,,70.0,-4.5,0.3,,,24100.0,,,7.0,,,0.6,0.2,5665,13117
2017-01-01 02,1483254000,98.95,101.08,W,26.0,32.0,43.0,67.0,-5.4,0.0,-7.0,,24100.0,2.3,,7.0,,,0.3,-0.1,5665,12816
2017-01-01 03,1483257600,99.14,101.27,W,26.0,28.0,,69.0,-5.1,-0.1,-6.0,,24100.0,2.3,,7.0,,,0.0,-0.2,5665,12605
2017-01-01 04,1483261200,99.28,101.41,W,26.0,27.0,,69.0,-5.1,-0.1,-6.0,,24100.0,2.2,,7.0,,,-0.1,-0.3,5665,12563
2017-01-01 05,1483264800,99.35,101.49,WSW,25.0,18.0,,69.0,-5.1,-0.1,-5.0,,24100.0,2.3,,7.0,,,-0.1,-0.2,5665,12544
2017-01-01 06,1483268400,99.46,101.6,SW,23.0,16.0,,70.0,-5.2,-0.4,-5.0,,24100.0,2.3,,6.0,,,-0.1,-0.4,5665,12758
2017-01-01 07,1483272000,99.59,101.74,SW,23.0,15.0,,70.0,-6.4,-1.6,-6.0,,24100.0,2.3,,5.0,,,-0.4,-1.7,5665,13065
2017-01-01 08,1483275600,99.73,101.88,SW,23.0,19.0,,70.0,-6.7,-1.9,-7.0,,24100.0,2.4,,7.0,,,-1.6,-1.9,5665,13367
2017-01-01 09,1483279200,99.85,102.0,WSW,23.0,23.0,,68.0,-7.0,-1.8,-8.0,,24100.0,2.4,,1.0,,,-1.8,-2.3,5665,13644
2017-01-01 10,1483282800,99.97,102.12,WSW,24.0,24.0,,66.0,-6.7,-1.1,-7.0,,24100.0,2.4,,1.0,,,-1.0,-1.8,5665,13728
2017-01-01 11,1483286400,100.06,102.21,WSW,25.0,19.0,,62.0,-6.3,0.1,,,24100.0,2.3,,2.0,,,0.1,-1.0,5665,13555
2017-01-01 12,1483290000,99.99,102.14,WSW,24.0,21.0,,59.0,-6.3,0.8,,,24100.0,2.2,,1.0,,,0.9,0.1,5665,13567
2017-01-01 13,1483293600,100.0,102.15,WSW,23.0,20.0,,55.0,-6.9,1.2,,,24100.0,2.2,,1.0,,,1.6,0.6,5665,13441
2017-01-01 14,1483297200,99.98,102.13,WSW,25.0,17.0,,57.0,-6.4,1.2,,,24100.0,2.2,,0.0,,,1.8,1.1,5665,13442
2017-01-01 15,1483300800,100.06,102.21,W,25.0,18.0,,54.0,-6.6,1.7,,,24100.0,2.3,,0.0,,,1.7,1.2,5665,13926
